locality,Year,house_price
SUNNYCLIFFS,2019,239000.00
SUNSET STRIP,2019,460000.00
SUNSHINE,2019,720000.00
SUNSHINE NORTH,2019,630000.00
SUNSHINE WEST,2019,635000.00
SURF BEACH,2019,510000.00
SURREY HILLS,2019,1886500.00
SWAN HILL,2019,285000.00
SYDENHAM,2019,599500.00
SYNDAL,2019,1524500.00
TALLANGATTA,2019,251500.00
TARNEIT,2019,555000.00
TATURA,2019,276500.00
TAWONGA,2019,460000.00
TAWONGA SOUTH,2019,400000.00
TAYLORS HILL,2019,702500.00
TAYLORS LAKES,2019,748500.00
TECOMA,2019,662500.00
TEMPLESTOWE,2019,1276500.00
TEMPLESTOWE LOWER,2019,1080000.00
TERANG,2019,190000.00
THE BASIN,2019,695000.00
THE HONEYSUCKLES,2019,336000.00
THE PATCH,2019,755000.00
THOMASTOWN,2019,592000.00
THOMSON (GREATER GEELONG),2019,400500.00
THORNBURY,2019,1135000.00
THORNHILL PARK,2019,535000.00
TIMBOON,2019,260000.00
TONGALA,2019,234500.00
TOONGABBIE,2019,270000.00
TOORA,2019,275000.00
TOORADIN,2019,700000.00
TOORAK,2019,4361000.00
TOOTGAROOK,2019,580000.00
TORQUAY,2019,820000.00
TRAFALGAR,2019,397500.00
TRARALGON,2019,325000.00
TRARALGON EAST,2019,470000.00
TRAVANCORE,2019,1125000.00
TRENTHAM,2019,614000.00
TRUGANINA,2019,575000.00
TULLAMARINE,2019,612000.00
TYABB,2019,580500.00
TYLDEN,2019,492500.00
UPPER FERNTREE GULLY,2019,642500.00
UPWEY,2019,702500.00
VENTNOR,2019,535000.00
VENUS BAY,2019,330000.00
VERMONT,2019,937000.00
VERMONT SOUTH,2019,1166500.00
VIEWBANK,2019,920000.00
VIOLET TOWN,2019,287500.00
WAHGUNYAH,2019,355000.00
WALKERVILLE,2019,334500.00
WALLAN,2019,477500.00
WALLAN EAST,2019,450000.00
WANDANA HEIGHTS,2019,766500.00
WANDIN NORTH,2019,627500.00
WANGARATTA,2019,319000.00
WANTIRNA,2019,860000.00
WANTIRNA SOUTH,2019,988500.00
WARBURTON,2019,515000.00
WARNEET,2019,512500.00
WARRACKNABEAL,2019,118000.00
WARRAGUL,2019,460000.00
WARRANDYTE,2019,987500.00
WARRANWOOD,2019,935000.00
WARRNAMBOOL,2019,370000.00
WATERWAYS,2019,1270000.00
WATSONIA,2019,736000.00
WATSONIA NORTH,2019,726500.00
WATTLE GLEN,2019,778500.00
WAURN PONDS,2019,641500.00
WEDDERBURN,2019,138500.00
WEIR VIEWS,2019,462500.00
WENDOUREE,2019,335000.00
WENDOUREE WEST,2019,257500.00
WERRIBEE,2019,510000.00
WERRIBEE SOUTH,2019,744500.00
WESBURN,2019,530000.00
WEST FOOTSCRAY,2019,787500.00
WEST MELBOURNE,2019,1085000.00
WEST WODONGA,2019,342500.00
WESTALL,2019,730000.00
WESTGARTH,2019,1505000.00
WESTMEADOWS,2019,620000.00
WHEELERS HILL,2019,1009000.00
WHITE HILLS,2019,330000.00
WHITTINGTON,2019,377500.00
WHITTLESEA,2019,577500.00
WILLAURA,2019,110000.00
WILLIAMS LANDING,2019,660000.00
WILLIAMSTOWN,2019,1350000.00
WILLIAMSTOWN NORTH,2019,915000.00
WIMBLEDON HEIGHTS,2019,386500.00
WINCHELSEA,2019,430000.00
WINDSOR,2019,1350000.00
WINTER VALLEY,2019,435000.00
WODONGA,2019,330500.00
WOLLERT,2019,577500.00
WONGA PARK,2019,1111000.00
WONTHAGGI,2019,375000.00
WOODEND,2019,747500.00
WOOLAMAI WATERS,2019,495500.00
WOORI YALLOCK,2019,510000.00
WY YUNG,2019,349000.00
WYCHEPROOF,2019,141500.00
WYE RIVER,2019,1300000.00
WYNDHAM VALE,2019,465000.00
YACKANDANDAH,2019,497500.00
YALLAMBIE,2019,792500.00
YALLOURN NORTH,2019,191000.00
YARRA GLEN,2019,670000.00
YARRA JUNCTION,2019,582500.00
YARRAGON,2019,410000.00
YARRAM,2019,240000.00
YARRAVILLE,2019,971000.00
YARRAWONGA,2019,375000.00
